Jim Watson,D,144,4,15,19,-61,2008-2010
Taylor Hall,F,37,2,17,19,-21,1992-1996
Colin Patterson,F,88,8,10,18,-6,2013-2014
Randy Wyrozub,F,100,8,10,18,-13,2013-2014
Cody Eakin,F,110,7,11,18,-21,1973-1985
Floyd Smith,F,83,6,12,18,-16,1986-1987
Casey Nelson,D,93,4,14,18,-15,2001-2009
Joe Reekie,D,104,3,15,18,7,1976-1978
Jacob Bryson,D,98,2,16,18,-7,2001-2002
Doug Rombough,F,51,8,9,17,5,1970-1971
Peyton Krebs,F,35,7,10,17,-12,2021-2022
Jamie McBain,D,69,6,11,17,-13,2002-2003
Eric Boulton,F,172,5,12,17,-3,1986-1992
Tom Barrasso,G,266,0,17,17,,1997-2000
Danny Lawson,F,78,10,6,16,-22,2016-2017
Mike Byers,F,46,9,7,16,-20,1986-1987
Jir� Novotn�,F,64,8,8,16,-7,1970-1971
Charlie Huddy,D,85,7,9,16,-7,1984-1987
Reg Fleming,F,78,6,10,16,-8,1991-1997
Vladimir Sobotka,F,85,6,10,16,-18,1970-1971
Gord Donnelly,F,134,5,11,16,-1,2008-2011
Nikita Zadorov,D,67,4,12,16,-14,1981-1982
Nathan Beaulieu,D,89,4,12,16,-18,1983-1986
Bob Halkidis,D,89,2,14,16,6,1989-1990
Bob Logan,F,38,10,5,15,6,2013-2020
Brent Hughes,F,76,5,10,15,-9,1971-1972
Jay Wells,D,85,3,12,15,-20,2019-2021
Marc-Andre Gragnani,D,59,2,13,15,10,1988-1993
Andrej Meszaros,D,60,7,7,14,-13,2015-2016
Torrey Mitchell,F,60,7,7,14,-6,2015-2018
Alexander Sulzer,D,57,6,8,14,2,2011-2014
Mikhail Grigorenko,F,68,6,8,14,-14,1973-1974
David Legwand,F,79,5,9,14,-4,2010-2013
Jim Korn,F,52,4,10,14,-3,1985-1987
Ken Breitenbach,D,68,1,13,14,7,2013-2014
Daren Puppa,G,215,0,14,14,,2014-2015
Don Lever,F,39,10,3,13,-8,1990-1992
Michael Ryan,F,65,7,6,13,-12,1989-1992
Pat Hughes,F,50,4,9,13,-5,1986-1988
Keith Carney,D,51,4,9,13,-1,1971-1978
Riley Sheahan,F,53,4,9,13,-8,1971-1981
Mark Mancari,F,36,3,10,13,-3,1987-1989
Bob Boughner,D,177,2,11,13,20,1989-1990
Dominik Hasek,G,491,0,13,13,,2020-2022
Anders Bjork,F,66,7,5,12,-19,2005-2010
Steve Heinze,F,14,5,7,12,6,2006-2010
Cliff Schmautz,F,26,5,7,12,-11,1992-1995
Matt DAgostini,F,49,5,6,11,-14,2021-2022
Bill Houlder,D,32,4,7,11,1,2011-2012
Viktor Gordiouk,F,26,3,8,11,1,1987-1990
Don Edwards,G,307,0,11,11,,2002-2010
Arttu Ruotsalainen,F,35,7,3,10,-10,2014-2015
Nicholas Baptiste,F,47,7,3,10,-3,1990-1991
Randy Cunneyworth,F,35,4,6,10,-2,1988-1992
Kevin Porter,F,43,4,6,10,-6,2016-2017
Eric Staal,F,32,3,7,10,-20,1984-1985
Milan Bartovic,F,26,2,8,10,1,2006-2011
Justin Falk,D,98,1,9,10,-19,1970-1971
Viktor Antipin,D,47,0,10,10,-9,1971-1981
Dane Jackson,F,22,5,4,9,3,1975-1979
Phil Varone,F,42,5,4,9,-16,1991-1998
Skip Krake,F,74,4,5,9,-21,1975-1983
Steve Bernier,F,17,3,6,9,1,2013-2014
Corey Tropp,F,43,3,6,9,-8,2013-2021
Jan Ludvig,F,26,1,8,9,0,1979-1981
Andre Benoit,D,59,1,8,9,-19,2009-2015
Bob Sauve,G,246,0,9,9,,1981-1984
Ryan Miller,G,540,0,9,9,,1970-1971
William Carrier,F,41,5,3,8,-1,2015-2016
Justin Bailey,F,52,5,3,8,-4,1974-1976
Dainius Zubrus,F,19,4,4,8,-3,1971-1973
Drake Caggiula,F,29,4,4,8,-9,1995-2006
Ron Schock,F,40,4,4,8,-5,1978-1983
Jordan Nolan,F,69,4,4,8,-13,1981-1986
Cal OReilly,F,31,3,5,8,-7,1991-1992
Jason Botterill,F,36,3,5,8,1,1970-1971
Barrie Moore,F,34,2,6,8,1,2002-2003
Will Butcher,D,35,2,6,8,-10,1973-1976
Lou Franceschetti,F,36,1,7,8,2,2011-2014
Brayden McNabb,D,37,1,7,8,0,1974-1975
Robert H�gg,D,48,1,7,8,-9,1987-1990
Bob Hess,D,33,0,8,8,6,1970-1975
Taylor Fedun,D,34,0,8,8,2,1994-1995
Mattias Samuelsson,D,42,0,8,8,-11,2014-2015
Scott Pearson,F,41,6,1,7,-7,1987-1990
Tobias Rieder,F,44,5,2,7,-9,1971-1975
Andrew Peters,F,200,4,3,7,-12,1988-1992
Zack Kassian,F,27,3,4,7,-1,2019-2022
Claude Verret,F,14,2,5,7,-5,2002-2014
Phil Russell,D,18,2,5,7,-8,2001-2004
Rob Conn,F,28,2,5,7,-9,2013-2015
Andy Delmore,D,37,2,5,7,-5,2017-2022
Doug Houda,D,68,2,5,7,2,1989-1995
Nolan Pratt,D,55,1,6,7,1,1980-1985
Robyn Regehr,D,105,1,6,7,-16,1991-1994
Ron Fischer,D,18,0,7,7,-3,1989-1990
Jean-Guy Talbot,D,57,0,7,7,-20,1979-1985
Jacques Cloutier,G,144,0,7,7,,2009-2011
Jody Gage,F,18,3,3,6,-6,2018-2021
Cory Conacher,F,19,3,3,6,-7,1995-1997
Alexander Nylander,F,19,3,3,6,-9,2008-2009
Scott Thomas,F,39,3,3,6,-4,1999-2000
Dave Schultz,F,41,3,3,6,-12,2010-2011
Brett Murray,F,21,2,4,6,-2,2013-2018
Anatoli Semenov,F,25,2,4,6,-3,1993-1996
Timo Jutila,D,10,1,5,6,-5,2020-2022
Lawrence Pilut,D,46,1,5,6,-12,1970-1971
Clint Malarchuk,G,102,0,6,6,,2009-2015
Paul Kruse,F,66,4,1,5,-1,1982-1983
Mark Jankowski,F,19,2,3,5,2,1986-1989
Tim Schaller,F,35,2,3,5,-2,1996-1999
Dmitri Kulikov,D,47,2,3,5,-26,2015-2019
Ed Ronan,F,18,1,4,5,4,2013-2015
Brian Engblom,D,30,1,4,5,2,1995-1998
Carlo Colaiacovo,D,36,1,4,5,-11,2010-2011
Shaone Morrisonn,D,62,1,4,5,-2,2016-2017
Brad Miller,D,63,1,4,5,-6,2017-2018
Raffi Torres,F,14,0,5,5,-3,1973-1974
Joe Kowal,F,22,0,5,5,3,2000-2006
Brendan Guhle,D,23,0,5,5,-4,2005-2007
Tyson Strachan,D,46,0,5,5,-30,2005-2009
Martin Biron,G,300,0,5,5,,2016-2019
Chris Langevin,F,22,3,1,4,1,2017-2019
Dominik Kahun,F,6,2,2,4,2,2015-2017
Paul Brydges,F,15,2,2,4,4,2015-2018
Patrik Berglund,F,23,2,2,4,-5,1970-1972
Jacob Josefson,F,39,2,2,4,-4,2016-2022
